State,precipitation,Year,Month,precipitation50mm,precipitation_percentage,maxprecipitation1day,maxprecipitation5day,relative_humidity,maxsurfaceairtemperature
Andaman and Nicobar Islands,30.24,1950,1,0.0,92.22,13.98,20.78,76.53,25.4
Andaman and Nicobar Islands,38.05,1950,2,0.0,152.77,10.19,25.09,78.02,26.09
Andaman and Nicobar Islands,39.25,1950,3,0.0,55.55,9.19,31.68,78.27,27.15
Andaman and Nicobar Islands,105.7,1950,4,0.0,112.52,33.37,68.87,79.06,27.75
Andaman and Nicobar Islands,228.05,1950,5,0.23,88.9,33.23,72.83,83.65,27.49
Andaman and Nicobar Islands,273.89,1950,6,0.21,93.68,39.36,97.68,85.78,27.24
Andaman and Nicobar Islands,163.26,1950,7,0.0,54.5,21.22,64.0,85.48,26.77
Andaman and Nicobar Islands,95.18,1950,8,0.0,35.2,13.73,42.79,84.16,26.75
Andaman and Nicobar Islands,347.77,1950,9,0.5,119.2,51.89,130.87,86.29,26.21
Andaman and Nicobar Islands,142.18,1950,10,0.0,53.27,15.12,44.08,84.14,26.12
Andaman and Nicobar Islands,142.08,1950,11,0.0,75.94,15.05,57.02,82.84,26.1
Andaman and Nicobar Islands,199.11,1950,12,0.53,277.05,44.22,109.98,82.27,25.68
Andaman and Nicobar Islands,139.08,1951,1,0.0,416.95,22.5,56.4,82.21,25.58
Andaman and Nicobar Islands,56.36,1951,2,0.0,298.75,10.03,30.08,79.34,26.0
Andaman and Nicobar Islands,16.58,1951,3,0.0,29.82,9.43,10.85,79.28,26.63
Andaman and Nicobar Islands,77.63,1951,4,0.0,82.78,17.91,47.52,79.19,27.55
Andaman and Nicobar Islands,127.86,1951,5,0.0,49.65,18.13,63.88,82.29,27.57
Andaman and Nicobar Islands,307.33,1951,6,0.06,101.65,39.41,111.0,85.81,27.14
Andaman and Nicobar Islands,176.57,1951,7,0.01,58.95,30.53,89.61,84.82,26.91
Andaman and Nicobar Islands,265.71,1951,8,0.0,92.39,25.27,75.02,85.51,27.11
Andaman and Nicobar Islands,208.81,1951,9,0.0,69.19,21.92,67.08,84.47,26.9
Andaman and Nicobar Islands,265.34,1951,10,0.0,99.53,28.75,89.7,85.4,26.49
Andaman and Nicobar Islands,239.07,1951,11,0.0,127.14,25.3,85.73,84.01,26.77
Andaman and Nicobar Islands,597.15,1951,12,3.79,853.56,107.66,362.92,84.21,25.84
Andaman and Nicobar Islands,112.39,1952,1,0.17,172.8,21.77,57.93,80.39,26.1
Andaman and Nicobar Islands,74.07,1952,2,0.0,414.88,24.56,48.38,81.29,26.19
Andaman and Nicobar Islands,103.81,1952,3,0.0,190.01,19.33,50.72,80.07,26.68
Andaman and Nicobar Islands,75.51,1952,4,0.0,75.84,9.78,34.44,78.59,27.89
Andaman and Nicobar Islands,236.02,1952,5,0.0,91.02,24.26,81.99,83.03,27.77
Andaman and Nicobar Islands,246.38,1952,6,0.0,82.89,19.68,69.55,85.69,27.3
Andaman and Nicobar Islands,206.01,1952,7,0.0,71.86,17.34,56.3,85.77,26.97
Andaman and Nicobar Islands,261.17,1952,8,0.0,89.77,25.16,88.27,85.66,27.02
Andaman and Nicobar Islands,243.45,1952,9,0.27,82.12,38.35,103.63,85.54,26.63
Andaman and Nicobar Islands,281.47,1952,10,0.14,105.83,31.64,90.68,85.77,26.33
Andaman and Nicobar Islands,481.45,1952,11,1.92,249.13,70.54,232.23,84.7,25.91
Andaman and Nicobar Islands,197.31,1952,12,0.56,308.94,57.05,150.02,79.68,25.47
Andaman and Nicobar Islands,192.52,1953,1,0.21,643.87,37.86,92.14,81.86,25.21
Andaman and Nicobar Islands,128.42,1953,2,0.0,828.45,27.9,59.73,79.99,25.64
Andaman and Nicobar Islands,124.62,1953,3,0.09,251.09,30.46,84.48,78.65,26.82
Andaman and Nicobar Islands,173.0,1953,4,0.0,200.41,18.73,77.83,82.14,27.07
Andaman and Nicobar Islands,206.58,1953,5,0.0,80.44,23.69,77.9,83.33,27.69
Andaman and Nicobar Islands,335.63,1953,6,0.16,115.41,32.02,97.69,85.9,27.09
Andaman and Nicobar Islands,306.25,1953,7,0.95,104.8,65.07,164.69,85.17,26.61
Andaman and Nicobar Islands,329.78,1953,8,0.0,109.48,30.25,96.98,85.45,26.89
Andaman and Nicobar Islands,243.67,1953,9,0.0,82.61,24.67,88.95,86.4,26.2
Andaman and Nicobar Islands,244.01,1953,10,0.0,91.59,21.12,84.1,84.02,26.55
Andaman and Nicobar Islands,288.75,1953,11,0.42,154.23,48.54,101.47,84.08,25.89
Andaman and Nicobar Islands,170.01,1953,12,0.3,200.81,42.82,64.85,80.14,26.05
Andaman and Nicobar Islands,125.15,1954,1,0.0,302.78,25.06,71.72,79.0,26.08
Andaman and Nicobar Islands,35.11,1954,2,0.0,138.19,6.94,20.55,75.38,26.67
Andaman and Nicobar Islands,69.13,1954,3,0.0,89.99,11.73,27.49,78.12,26.83
Andaman and Nicobar Islands,72.22,1954,4,0.0,64.42,11.11,42.71,75.6,27.89
Andaman and Nicobar Islands,319.92,1954,5,0.0,123.67,37.15,112.42,84.12,27.33
Andaman and Nicobar Islands,376.01,1954,6,0.38,130.61,50.64,118.82,85.48,27.1
Andaman and Nicobar Islands,324.76,1954,7,0.11,117.25,33.42,115.74,85.57,26.51
Andaman and Nicobar Islands,308.66,1954,8,0.3,113.8,44.5,111.8,86.91,26.36
Andaman and Nicobar Islands,399.56,1954,9,0.37,135.27,45.37,121.54,87.11,26.05
Andaman and Nicobar Islands,273.57,1954,10,0.0,102.31,30.93,96.17,85.45,25.82
Andaman and Nicobar Islands,81.39,1954,11,0.0,36.0,15.11,38.55,78.87,26.26
Andaman and Nicobar Islands,112.73,1954,12,0.0,108.34,19.6,57.11,79.07,25.82
Andaman and Nicobar Islands,72.45,1955,1,0.0,134.96,15.86,42.55,76.65,25.81
Andaman and Nicobar Islands,18.21,1955,2,0.0,41.83,4.93,8.98,74.48,26.12
Andaman and Nicobar Islands,21.31,1955,3,0.0,33.71,5.79,13.27,75.26,27.02
Andaman and Nicobar Islands,87.21,1955,4,0.0,90.43,16.05,53.11,75.77,27.69
Andaman and Nicobar Islands,357.56,1955,5,0.4,138.37,40.14,123.76,84.62,27.4
Andaman and Nicobar Islands,440.87,1955,6,0.76,150.74,55.14,135.03,86.65,26.74
Andaman and Nicobar Islands,265.58,1955,7,0.0,90.26,22.28,78.71,84.89,26.78
Andaman and Nicobar Islands,313.36,1955,8,0.0,113.09,34.41,96.42,84.79,26.74
Andaman and Nicobar Islands,317.43,1955,9,0.14,105.33,38.0,135.58,85.01,26.47
Andaman and Nicobar Islands,566.74,1955,10,1.51,212.52,57.78,171.0,86.5,25.98
Andaman and Nicobar Islands,280.0,1955,11,0.66,135.69,52.81,140.48,83.15,26.05
Andaman and Nicobar Islands,36.31,1955,12,0.0,21.97,7.29,20.94,73.01,25.3
Andaman and Nicobar Islands,41.06,1956,1,0.02,42.06,10.11,20.05,74.12,25.33
Andaman and Nicobar Islands,38.33,1956,2,0.0,147.7,13.71,25.21,75.44,25.63
Andaman and Nicobar Islands,27.49,1956,3,0.0,35.99,8.34,66.11,77.87,26.74
Andaman and Nicobar Islands,171.95,1956,4,0.39,179.28,54.89,100.37,79.93,27.03
Andaman and Nicobar Islands,343.32,1956,5,0.1,132.71,38.02,117.52,85.83,26.97
Andaman and Nicobar Islands,377.41,1956,6,0.58,127.63,46.62,154.55,85.73,26.63
Andaman and Nicobar Islands,374.97,1956,7,0.08,132.53,33.09,140.38,86.02,26.19
Andaman and Nicobar Islands,267.02,1956,8,0.0,95.18,24.39,92.98,85.95,26.39
Andaman and Nicobar Islands,412.81,1956,9,0.45,141.62,44.35,138.6,87.13,25.99
Andaman and Nicobar Islands,375.32,1956,10,0.08,140.56,35.09,106.2,85.69,25.86
Andaman and Nicobar Islands,159.44,1956,11,0.0,77.6,31.43,83.08,80.35,26.19
Andaman and Nicobar Islands,94.36,1956,12,0.0,82.34,20.28,50.61,77.92,25.76
Andaman and Nicobar Islands,33.92,1957,1,0.0,57.68,7.8,15.74,76.16,25.55
Andaman and Nicobar Islands,34.63,1957,2,0.0,195.38,13.73,27.99,74.01,25.28
Andaman and Nicobar Islands,13.2,1957,3,0.0,14.05,4.96,8.91,72.16,26.46
Andaman and Nicobar Islands,31.14,1957,4,0.0,29.09,4.12,13.48,75.25,27.97
Andaman and Nicobar Islands,150.19,1957,5,0.0,58.9,24.76,105.57,79.95,28.13
Andaman and Nicobar Islands,385.0,1957,6,0.04,125.31,37.26,123.75,85.62,27.3
Andaman and Nicobar Islands,225.99,1957,7,0.0,77.94,25.35,81.96,85.16,27.0
Andaman and Nicobar Islands,256.95,1957,8,0.0,88.4,18.91,85.9,86.34,26.58
Andaman and Nicobar Islands,310.8,1957,9,0.22,105.31,43.78,122.27,85.67,26.48
Andaman and Nicobar Islands,275.4,1957,10,0.72,104.17,51.32,126.01,83.96,26.54
Andaman and Nicobar Islands,104.96,1957,11,0.0,46.68,13.44,39.11,81.91,26.65
